month,year,region,refinery,oil_name_en,oil_name_cn,origin_region,volume_10kt,source_file,source_sheet,source_row,source_col,is_total_row
2026-01,2026,山东,万达天弘,Malaysia Blend,马混,亚洲,7.5,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,13,71,False
2026-01,2026,山东,万达天弘,Sakhalin,萨哈林,俄罗斯,9.8,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,13,8,False
2026-01,2026,山东,万达天弘,Sokol,索科尔,俄罗斯,20.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,13,7,False
2026-01,2026,山东,万通石化,Malaysia Blend,马混,亚洲,23.25,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,26,71,False
2026-01,2026,山东,东方华龙,Malaysia Blend,马混,亚洲,29.5,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,16,71,False
2026-01,2026,山东,东明石化,Urals,乌拉尔,俄罗斯,62.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,43,6,False
2026-01,2026,山东,中化弘润,Espo,埃斯坡,俄罗斯,10.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,34,5,False
2026-01,2026,山东,中化弘润,Indonesia Blend/Singma/Leng blend,辛格玛、印尼混等,亚洲,5.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,34,72,False
2026-01,2026,山东,中化弘润,Malaysia Blend,马混,亚洲,20.7,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,34,71,False
2026-01,2026,山东,亚通石化,Espo,埃斯坡,俄罗斯,10.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,25,5,False
2026-01,2026,山东,亚通石化,Malaysia Blend,马混,亚洲,5.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,25,71,False
2026-01,2026,山东,亚通石化,Urals,乌拉尔,俄罗斯,16.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,25,6,False
2026-01,2026,山东,京博石化,Indonesia Blend/Singma/Leng blend,辛格玛、印尼混等,亚洲,26.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,38,72,False
2026-01,2026,山东,利津石化,Espo,埃斯坡,俄罗斯,32.3,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,11,5,False
2026-01,2026,山东,华星石化,AWB/BHB/TMX,,北美,5.4,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,17,102,False
2026-01,2026,山东,华星石化,Lula/Tupi,卢拉/图皮,中南美,13.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,17,110,False
2026-01,2026,山东,华星石化,Mostarda,芥末,非洲,4.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,17,47,False
2026-01,2026,山东,华联石化,Espo,埃斯坡,俄罗斯,26.7,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,15,5,False
2026-01,2026,山东,垦利石化,Espo,埃斯坡,俄罗斯,35.6,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,24,5,False
2026-01,2026,东北,大连恒力,ARABIAN,沙特原油,中东,16.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,45,56,False
2026-01,2026,东北,大连恒力,Basrah M,巴士拉中,中东,26.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,45,58,False
2026-01,2026,东北,大连恒力,KHAFJI,,中东,13.0,OILCHEM中国独立炼厂数据监测报告202601.xlsx,2C炼厂加工进口原油详解,45,69,False
